Bait,Protein,predicted_probability,FDR,n_peptides,n_background,mean_cv,background_flag_protein
ACTB,A2M,0.7178999999999996,0.16659762575992942,5,0,4.795831523312719,
ACTB,A2ML1,0.6949999999999997,0.17515208061205448,3,0,4.795831523312719,
ACTB,AAAS,0.6701999999999998,0.17515208061205448,14,5,1.7018611110514308,
ACTB,AAGAB,0.5998000000000004,0.21511297852474323,5,0,1.6841347476151138,
ACTB,AAK1,0.7617000000000002,0.14133740476851425,17,7,1.537139412308997,
ACTB,AAR2,0.5889999999999997,0.2177857723884039,7,0,2.5558985050079124,
ACTB,AARS1,0.8781000000000002,0.012362982929020666,14,2,2.282952931556054,
ACTB,AARS2,0.6613,0.17515208061205448,3,0,2.071271260368833,
ACTB,AARSD1,0.05219999999999999,1.0,3,0,2.878579450113922,
ACTB,AASDH,0.0,1.0,4,0,3.066237385757363,
ACTB,AASDHPPT,0.5697,0.2421361124811471,6,2,1.6301890654251532,
ACTB,AATF,0.010100000000000005,1.0,6,0,2.8709919286307737,
ACTB,ABCB7,0.5045,0.40165718389217253,10,1,2.619727195386491,
ACTB,ABCC1,0.6636000000000002,0.17515208061205448,15,2,2.4724870398864556,
ACTB,ABCC3,0.0,1.0,2,0,4.1892305852429,
ACTB,ABCD1,0.5597,0.25960820199966106,18,3,2.2832303928482616,
ACTB,ABCD3,0.5829,0.22380667018233535,18,0,1.9699175631310437,
ACTB,ABCE1,0.7120999999999995,0.17055570864333608,12,4,1.9188770619712867,
ACTB,ABCF1,0.7494,0.15185951509363893,19,14,1.2864949866855304,likely background
ACTB,ABCF2,0.7695000000000002,0.14133740476851425,17,7,1.4245144395140485,
ACTB,ABCF3,0.7901999999999997,0.1316318201795693,20,6,1.8933857698061263,
ACTB,ABHD12,0.5113000000000001,0.3915347550072838,2,1,2.8815117796453498,likely background
ACTB,ABI1,0.7032999999999998,0.17418924774189248,7,3,1.4787024591937308,
ACTB,ABI2,0.6636000000000002,0.17515208061205448,2,0,2.1345930189922937,
ACTB,ABL1,0.6636000000000002,0.17515208061205448,8,0,3.222514111563693,
ACTB,ABL2,0.7054999999999998,0.1733853895540517,10,1,2.8905872706703866,
ACTB,ABLIM1,0.9870999999999996,0.000274914089347079,24,0,2.336555808874775,
ACTB,ABLIM3,0.8302,0.052318339100346015,12,1,2.174273556591886,
ACTB,ABR,0.6614,0.17515208061205448,10,3,1.7905510290463664,
ACTB,ABRAXAS1,0.0,1.0,2,0,2.6800275563453826,
